produto_id,categoria,descricao,fornecedor,lote_minimo_compra,consumo_medio_4m,consumo_medio_6m,consumo_medio_12m,custo_aquisicao_unitario,custo_negociado_estimado,estoque_atual,prazo_reposicao_dias,nivel_servico_alvo,margem_alvo,proxima_revisao_contrato
PRODUTOS_UTILIDADES-00027,utilidades,Produto Utilidades 00027,Fornecedor_127,240,886.61,1181.67,2020.6,1180.03,1294.08,559,36,0.904,0.298,2026-05-27
PRODUTOS_UTILIDADES-00028,utilidades,Produto Utilidades 00028,Fornecedor_195,120,100.24,152.85,262.74,1183.64,1354.37,58,40,0.944,0.212,2026-10-15
PRODUTOS_UTILIDADES-00029,utilidades,Produto Utilidades 00029,Fornecedor_175,12,114.6,145.89,246.06,581.9,533.61,126,55,0.937,0.296,2026-06-26
PRODUTOS_UTILIDADES-00030,utilidades,Produto Utilidades 00030,Fornecedor_237,96,281.76,431.81,970.99,282.3,272.26,75,6,0.946,0.241,2026-11-03
PRODUTOS_UTILIDADES-00031,utilidades,Produto Utilidades 00031,Fornecedor_071,6,224.42,277.32,448.86,911.24,949.76,192,42,0.914,0.32,2027-03-19
PRODUTOS_UTILIDADES-00032,utilidades,Produto Utilidades 00032,Fornecedor_057,240,680.53,785.8,1293.09,1117.96,1241.68,795,28,0.944,0.302,2027-03-22
PRODUTOS_UTILIDADES-00033,utilidades,Produto Utilidades 00033,Fornecedor_148,96,405.1,532.81,1130.15,795.39,746.05,539,59,0.919,0.411,2027-04-20
PRODUTOS_UTILIDADES-00034,utilidades,Produto Utilidades 00034,Fornecedor_137,6,784.78,992.5,1829.6,1064.83,1052.07,516,77,0.926,0.265,2026-09-13
PRODUTOS_UTILIDADES-00035,utilidades,Produto Utilidades 00035,Fornecedor_090,480,219.54,358.65,796.71,99.13,97.48,673,13,0.979,0.342,2026-09-25
PRODUTOS_UTILIDADES-00036,utilidades,Produto Utilidades 00036,Fornecedor_124,480,775.51,1309.75,2786.64,407.35,421.55,376,30,0.961,0.319,2026-07-30
PRODUTOS_UTILIDADES-00037,utilidades,Produto Utilidades 00037,Fornecedor_173,12,875.5,1240.37,2941.76,1135.22,1058.66,190,31,0.955,0.32,2026-12-10
PRODUTOS_UTILIDADES-00038,utilidades,Produto Utilidades 00038,Fornecedor_103,720,560.39,901.57,2131.03,222.22,237.18,720,50,0.969,0.31,2026-06-13
PRODUTOS_UTILIDADES-00039,utilidades,Produto Utilidades 00039,Fornecedor_021,24,273.34,417.59,927.49,543.41,598.53,121,32,0.95,0.304,2027-01-22
PRODUTOS_UTILIDADES-00040,utilidades,Produto Utilidades 00040,Fornecedor_008,96,721.01,904.02,1898.47,322.56,305.71,8,75,0.984,0.129,2026-08-23
PRODUTOS_UTILIDADES-00041,utilidades,Produto Utilidades 00041,Fornecedor_176,12,353.87,427.11,881.81,21.07,22.1,250,31,0.917,0.387,2026-06-14
PRODUTOS_UTILIDADES-00042,utilidades,Produto Utilidades 00042,Fornecedor_244,24,791.43,1045.09,2291.75,1309.75,1262.49,55,26,0.929,0.252,2027-02-06
PRODUTOS_UTILIDADES-00043,utilidades,Produto Utilidades 00043,Fornecedor_032,24,230.31,351.77,640.5,688.52,781.92,255,16,0.901,0.128,2026-10-09
PRODUTOS_UTILIDADES-00044,utilidades,Produto Utilidades 00044,Fornecedor_139,120,271.25,351.24,621.56,919.82,1037.91,390,23,0.927,0.328,2026-10-08
PRODUTOS_UTILIDADES-00045,utilidades,Produto Utilidades 00045,Fornecedor_229,96,419.76,702.88,1339.06,640.12,649.17,96,28,0.929,0.111,2027-01-26
PRODUTOS_UTILIDADES-00046,utilidades,Produto Utilidades 00046,Fornecedor_015,48,801.47,1358.8,3041.56,699.57,644.83,488,33,0.955,0.301,2027-04-06
PRODUTOS_UTILIDADES-00047,utilidades,Produto Utilidades 00047,Fornecedor_230,6,590.38,700.17,1184.77,1215.66,1185.43,164,36,0.937,0.131,2026-05-14
PRODUTOS_UTILIDADES-00048,utilidades,Produto Utilidades 00048,Fornecedor_055,24,549.53,776.45,1605.98,9.68,10.91,301,26,0.912,0.327,2026-10-27
PRODUTOS_UTILIDADES-00049,utilidades,Produto Utilidades 00049,Fornecedor_202,12,117.11,163.02,372.65,298.05,280.54,73,60,0.911,0.386,2027-04-04
PRODUTOS_UTILIDADES-00050,utilidades,Produto Utilidades 00050,Fornecedor_154,12,692.63,1094.5,1760.48,101.08,91.39,190,82,0.953,0.202,2026-06-22
PRODUTOS_UTILIDADES-00051,utilidades,Produto Utilidades 00051,Fornecedor_100,96,181.67,260.18,600.03,709.94,740.59,180,72,0.952,0.247,2027-02-18
PRODUTOS_UTILIDADES-00052,utilidades,Produto Utilidades 00052,Fornecedor_201,240,340.83,463.12,916.88,907.68,1047.72,183,82,0.904,0.237,2026-08-10
PRODUTOS_UTILIDADES-00053,utilidades,Produto Utilidades 00053,Fornecedor_212,6,380.55,610.65,1036.99,287.57,265.12,347,48,0.95,0.082,2027-03-24
PRODUTOS_UTILIDADES-00054,utilidades,Produto Utilidades 00054,Fornecedor_002,120,61.89,98.05,185.31,429.05,409.62,78,60,0.912,0.099,2026-06-22
PRODUTOS_UTILIDADES-00055,utilidades,Produto Utilidades 00055,Fornecedor_188,120,867.45,1265.13,2586.02,100.4,105.3,178,48,0.916,0.333,2027-01-04
PRODUTOS_UTILIDADES-00056,utilidades,Produto Utilidades 00056,Fornecedor_217,720,679.35,926.63,2049.73,975.85,955.1,1213,64,0.947,0.142,2026-09-13
PRODUTOS_UTILIDADES-00057,utilidades,Produto Utilidades 00057,Fornecedor_110,720,577.57,779.33,1818.86,767.95,817.33,792,53,0.957,0.371,2026-05-06
PRODUTOS_UTILIDADES-00058,utilidades,Produto Utilidades 00058,Fornecedor_171,6,253.1,382.81,732.41,1401.18,1519.4,212,81,0.959,0.161,2026-07-19
PRODUTOS_UTILIDADES-00059,utilidades,Produto Utilidades 00059,Fornecedor_018,48,691.69,858.56,1872.81,132.88,132.16,451,69,0.929,0.41,2027-03-05
PRODUTOS_UTILIDADES-00060,utilidades,Produto Utilidades 00060,Fornecedor_073,6,1183.51,1869.34,3937.45,802.32,868.53,394,54,0.973,0.193,2026-08-11
PRODUTOS_UTILIDADES-00061,utilidades,Produto Utilidades 00061,Fornecedor_107,480,584.34,830.52,1367.09,719.27,680.16,1089,64,0.902,0.168,2026-07-05
PRODUTOS_UTILIDADES-00062,utilidades,Produto Utilidades 00062,Fornecedor_012,24,170.06,213.11,446.19,641.27,666.97,158,25,0.925,0.143,2026-07-11
PRODUTOS_UTILIDADES-00063,utilidades,Produto Utilidades 00063,Fornecedor_153,48,925.32,1396.75,2438.61,116.94,129.36,916,43,0.966,0.309,2026-11-15
PRODUTOS_UTILIDADES-00064,utilidades,Produto Utilidades 00064,Fornecedor_131,6,311.74,502.58,1024.17,734.42,789.92,87,10,0.97,0.337,2026-12-05
PRODUTOS_UTILIDADES-00065,utilidades,Produto Utilidades 00065,Fornecedor_051,480,640.73,927.34,1725.88,997.61,1144.08,99,61,0.967,0.385,2026-06-02
PRODUTOS_UTILIDADES-00066,utilidades,Produto Utilidades 00066,Fornecedor_014,240,533.56,664.15,1520.44,536.98,493.05,428,81,0.935,0.143,2026-08-26
PRODUTOS_UTILIDADES-00067,utilidades,Produto Utilidades 00067,Fornecedor_089,480,1027.45,1248.14,2572.44,1484.92,1496.0,83,66,0.965,0.195,2026-12-05
PRODUTOS_UTILIDADES-00068,utilidades,Produto Utilidades 00068,Fornecedor_115,96,702.04,828.5,1804.58,1047.88,1172.78,829,7,0.989,0.323,2026-12-08
PRODUTOS_UTILIDADES-00069,utilidades,Produto Utilidades 00069,Fornecedor_018,720,1009.45,1556.97,3530.35,778.53,876.6,1125,53,0.93,0.201,2026-09-25
PRODUTOS_UTILIDADES-00070,utilidades,Produto Utilidades 00070,Fornecedor_029,48,628.87,922.24,1680.04,631.55,627.74,375,72,0.937,0.395,2027-01-22
PRODUTOS_UTILIDADES-00071,utilidades,Produto Utilidades 00071,Fornecedor_180,240,573.98,897.35,1636.31,284.41,280.47,249,14,0.969,0.119,2026-08-30
PRODUTOS_UTILIDADES-00072,utilidades,Produto Utilidades 00072,Fornecedor_164,120,1170.75,1880.95,4124.11,335.53,349.17,1229,41,0.955,0.252,2026-09-18
PRODUTOS_UTILIDADES-00073,utilidades,Produto Utilidades 00073,Fornecedor_222,48,172.42,198.32,402.83,409.34,481.96,106,19,0.943,0.144,2027-02-08
PRODUTOS_UTILIDADES-00074,utilidades,Produto Utilidades 00074,Fornecedor_084,720,413.21,700.72,1307.76,242.0,262.62,91,72,0.923,0.116,2026-09-04
PRODUTOS_UTILIDADES-00075,utilidades,Produto Utilidades 00075,Fornecedor_131,6,447.37,598.83,984.44,1474.18,1577.07,263,24,0.91,0.155,2027-04-10
PRODUTOS_UTILIDADES-00076,utilidades,Produto Utilidades 00076,Fornecedor_103,120,974.59,1644.35,3797.22,623.09,727.63,185,69,0.988,0.324,2027-02-01
PRODUTOS_UTILIDADES-00077,utilidades,Produto Utilidades 00077,Fornecedor_166,24,815.74,1249.39,2616.58,1059.33,1193.1,700,81,0.92,0.387,2026-12-23
PRODUTOS_UTILIDADES-00078,utilidades,Produto Utilidades 00078,Fornecedor_020,240,977.67,1172.41,2391.96,809.79,774.62,464,73,0.969,0.361,2026-12-06
PRODUTOS_UTILIDADES-00079,utilidades,Produto Utilidades 00079,Fornecedor_083,48,891.91,1404.48,2615.0,466.4,431.95,423,51,0.946,0.398,2026-12-05
PRODUTOS_UTILIDADES-00080,utilidades,Produto Utilidades 00080,Fornecedor_134,720,1071.61,1287.27,3080.69,473.7,539.93,595,67,0.941,0.107,2026-09-03
PRODUTOS_UTILIDADES-00081,utilidades,Produto Utilidades 00081,Fornecedor_090,480,1047.07,1271.54,2102.97,1246.81,1204.99,1256,72,0.934,0.342,2027-04-07
PRODUTOS_UTILIDADES-00082,utilidades,Produto Utilidades 00082,Fornecedor_239,6,756.29,1216.64,2690.77,1069.89,1179.55,522,38,0.936,0.3,2026-12-04
PRODUTOS_UTILIDADES-00083,utilidades,Produto Utilidades 00083,Fornecedor_195,96,1142.98,1383.43,2722.48,576.58,627.68,1210,64,0.938,0.217,2027-01-14
PRODUTOS_UTILIDADES-00084,utilidades,Produto Utilidades 00084,Fornecedor_201,6,457.1,768.72,1612.91,18.0,21.22,156,53,0.989,0.126,2027-01-26
PRODUTOS_UTILIDADES-00085,utilidades,Produto Utilidades 00085,Fornecedor_077,48,1133.45,1832.08,3852.62,561.63,600.66,93,78,0.937,0.298,2027-01-24
PRODUTOS_UTILIDADES-00086,utilidades,Produto Utilidades 00086,Fornecedor_245,120,381.9,645.37,1540.08,1258.9,1126.73,218,35,0.905,0.296,2026-07-26
PRODUTOS_UTILIDADES-00087,utilidades,Produto Utilidades 00087,Fornecedor_090,96,439.63,512.09,922.11,52.55,61.64,314,83,0.918,0.122,2026-07-22
PRODUTOS_UTILIDADES-00088,utilidades,Produto Utilidades 00088,Fornecedor_170,96,109.4,174.08,381.9,1041.57,1135.41,73,7,0.985,0.347,2026-07-19
PRODUTOS_UTILIDADES-00089,utilidades,Produto Utilidades 00089,Fornecedor_054,96,466.7,678.35,1090.69,331.79,341.47,247,49,0.915,0.4,2026-12-04
PRODUTOS_UTILIDADES-00090,utilidades,Produto Utilidades 00090,Fornecedor_050,240,848.27,1062.89,2131.42,76.08,75.26,66,78,0.936,0.366,2026-10-28
PRODUTOS_UTILIDADES-00091,utilidades,Produto Utilidades 00091,Fornecedor_098,96,902.99,1229.19,2505.61,1133.55,1023.25,581,10,0.906,0.307,2026-12-05
PRODUTOS_UTILIDADES-00092,utilidades,Produto Utilidades 00092,Fornecedor_229,120,712.61,1147.49,1954.1,595.89,577.94,414,66,0.935,0.137,2027-04-26
PRODUTOS_UTILIDADES-00093,utilidades,Produto Utilidades 00093,Fornecedor_169,240,737.25,1121.0,1804.85,650.21,697.93,541,71,0.985,0.175,2026-06-02
PRODUTOS_UTILIDADES-00094,utilidades,Produto Utilidades 00094,Fornecedor_183,12,73.31,121.92,214.12,1078.45,1244.0,47,73,0.934,0.225,2027-03-02
PRODUTOS_UTILIDADES-00095,utilidades,Produto Utilidades 00095,Fornecedor_224,720,714.26,1174.54,2133.41,786.9,772.49,1060,43,0.928,0.135,2026-08-13
PRODUTOS_UTILIDADES-00096,utilidades,Produto Utilidades 00096,Fornecedor_168,6,796.05,1047.03,2098.28,635.18,590.33,351,90,0.908,0.119,2026-08-25
PRODUTOS_UTILIDADES-00097,utilidades,Produto Utilidades 00097,Fornecedor_113,6,305.59,384.29,794.51,30.26,34.81,44,54,0.937,0.335,2026-09-28
PRODUTOS_UTILIDADES-00098,utilidades,Produto Utilidades 00098,Fornecedor_086,24,437.86,576.09,1238.89,55.19,56.13,388,26,0.935,0.377,2026-12-31
PRODUTOS_UTILIDADES-00099,utilidades,Produto Utilidades 00099,Fornecedor_229,120,1183.72,1418.93,2789.32,1317.65,1217.86,59,44,0.967,0.321,2026-12-16
PRODUTOS_UTILIDADES-00100,utilidades,Produto Utilidades 00100,Fornecedor_154,6,554.82,928.66,2167.53,1286.1,1509.59,138,77,0.946,0.335,2026-06-13
PRODUTOS_UTILIDADES-00101,utilidades,Produto Utilidades 00101,Fornecedor_105,240,465.35,592.4,1173.1,1405.43,1477.66,736,74,0.962,0.251,2026-12-08
PRODUTOS_UTILIDADES-00102,utilidades,Produto Utilidades 00102,Fornecedor_233,24,884.48,1440.66,2587.94,632.94,616.26,336,5,0.904,0.09,2026-07-25
PRODUTOS_UTILIDADES-00103,utilidades,Produto Utilidades 00103,Fornecedor_171,96,630.2,950.48,2084.3,788.98,898.37,758,40,0.919,0.208,2026-06-16
PRODUTOS_UTILIDADES-00104,utilidades,Produto Utilidades 00104,Fornecedor_068,720,802.24,1063.53,2398.66,1464.53,1476.25,1138,65,0.963,0.136,2026-11-23
PRODUTOS_UTILIDADES-00105,utilidades,Produto Utilidades 00105,Fornecedor_034,12,898.04,1515.94,2767.34,517.95,540.95,266,12,0.91,0.166,2026-05-08
PRODUTOS_UTILIDADES-00106,utilidades,Produto Utilidades 00106,Fornecedor_017,720,922.55,1070.76,2035.53,1481.71,1629.96,934,40,0.961,0.408,2026-05-14
PRODUTOS_UTILIDADES-00107,utilidades,Produto Utilidades 00107,Fornecedor_005,120,345.0,570.41,1151.97,423.39,461.41,461,37,0.956,0.286,2026-06-15
PRODUTOS_UTILIDADES-00108,utilidades,Produto Utilidades 00108,Fornecedor_243,24,460.19,722.79,1506.03,252.6,254.04,204,33,0.98,0.132,2026-10-30
PRODUTOS_UTILIDADES-00109,utilidades,Produto Utilidades 00109,Fornecedor_085,240,253.12,366.17,771.2,665.01,688.12,329,46,0.933,0.401,2027-04-15
PRODUTOS_UTILIDADES-00110,utilidades,Produto Utilidades 00110,Fornecedor_215,12,72.57,83.78,137.91,940.63,839.29,41,65,0.977,0.261,2027-04-11
PRODUTOS_UTILIDADES-00111,utilidades,Produto Utilidades 00111,Fornecedor_204,48,731.27,870.09,1965.67,1220.82,1403.51,236,40,0.951,0.177,2026-06-05
PRODUTOS_UTILIDADES-00112,utilidades,Produto Utilidades 00112,Fornecedor_109,480,751.15,1079.24,2448.22,778.9,852.0,339,86,0.944,0.209,2026-07-10
PRODUTOS_UTILIDADES-00113,utilidades,Produto Utilidades 00113,Fornecedor_211,12,1175.35,1532.51,3166.78,726.9,678.68,715,50,0.926,0.271,2026-07-01
PRODUTOS_UTILIDADES-00114,utilidades,Produto Utilidades 00114,Fornecedor_142,6,559.54,809.66,1638.98,37.71,35.29,61,76,0.904,0.336,2026-06-04
PRODUTOS_UTILIDADES-00115,utilidades,Produto Utilidades 00115,Fornecedor_189,480,1046.39,1300.44,2440.22,1468.35,1518.92,458,30,0.976,0.326,2027-03-27
PRODUTOS_UTILIDADES-00116,utilidades,Produto Utilidades 00116,Fornecedor_222,720,676.44,797.72,1836.41,1300.5,1317.73,1158,75,0.914,0.245,2026-07-05
PRODUTOS_UTILIDADES-00117,utilidades,Produto Utilidades 00117,Fornecedor_228,6,946.96,1367.04,2242.51,15.91,14.48,967,48,0.955,0.314,2026-08-15
PRODUTOS_UTILIDADES-00118,utilidades,Produto Utilidades 00118,Fornecedor_241,240,580.44,680.99,1227.59,1264.93,1293.83,827,36,0.941,0.363,2027-03-06
PRODUTOS_UTILIDADES-00119,utilidades,Produto Utilidades 00119,Fornecedor_066,120,326.62,538.1,1155.97,334.49,353.38,471,56,0.926,0.102,2026-12-11
PRODUTOS_UTILIDADES-00120,utilidades,Produto Utilidades 00120,Fornecedor_150,12,737.4,1238.45,2659.04,920.32,844.32,492,26,0.976,0.29,2026-08-03
PRODUTOS_UTILIDADES-00121,utilidades,Produto Utilidades 00121,Fornecedor_128,240,1128.08,1858.52,3955.88,385.04,439.93,1432,12,0.915,0.24,2027-02-26
PRODUTOS_UTILIDADES-00122,utilidades,Produto Utilidades 00122,Fornecedor_074,48,721.97,1029.06,1711.76,1096.87,1262.01,767,20,0.989,0.08,2026-07-31
PRODUTOS_UTILIDADES-00123,utilidades,Produto Utilidades 00123,Fornecedor_196,480,1132.89,1787.41,2878.49,149.68,134.38,749,7,0.9,0.315,2026-12-22
PRODUTOS_UTILIDADES-00124,utilidades,Produto Utilidades 00124,Fornecedor_027,48,1093.91,1596.37,3636.73,759.65,850.36,840,85,0.953,0.374,2026-05-17
PRODUTOS_UTILIDADES-00125,utilidades,Produto Utilidades 00125,Fornecedor_195,120,632.14,868.57,1922.49,1162.54,1292.37,635,89,0.901,0.353,2026-12-27
PRODUTOS_UTILIDADES-00126,utilidades,Produto Utilidades 00126,Fornecedor_032,48,375.31,468.2,978.13,1328.41,1538.99,428,31,0.974,0.301,2027-04-23
PRODUTOS_UTILIDADES-00127,utilidades,Produto Utilidades 00127,Fornecedor_133,24,806.89,1025.74,2424.7,850.09,894.86,32,33,0.913,0.161,2026-09-09
PRODUTOS_UTILIDADES-00128,utilidades,Produto Utilidades 00128,Fornecedor_026,96,321.8,524.26,1182.38,1210.42,1370.97,12,77,0.947,0.201,2026-10-24
PRODUTOS_UTILIDADES-00129,utilidades,Produto Utilidades 00129,Fornecedor_208,120,1070.6,1369.29,2194.14,140.84,146.25,1013,87,0.981,0.311,2026-08-19
PRODUTOS_UTILIDADES-00130,utilidades,Produto Utilidades 00130,Fornecedor_196,12,871.05,1373.51,2213.31,524.34,552.16,175,68,0.914,0.095,2027-04-10
PRODUTOS_UTILIDADES-00131,utilidades,Produto Utilidades 00131,Fornecedor_099,240,1020.49,1652.65,3523.04,616.93,672.64,1267,13,0.909,0.188,2027-02-17
PRODUTOS_UTILIDADES-00132,utilidades,Produto Utilidades 00132,Fornecedor_026,240,569.03,831.87,1714.84,779.78,736.29,339,67,0.948,0.351,2026-07-20
PRODUTOS_UTILIDADES-00133,utilidades,Produto Utilidades 00133,Fornecedor_248,12,967.01,1338.32,3088.09,600.9,595.04,685,77,0.94,0.148,2026-05-09
PRODUTOS_UTILIDADES-00134,utilidades,Produto Utilidades 00134,Fornecedor_062,120,798.86,966.83,2111.78,1239.25,1163.41,523,53,0.941,0.329,2026-07-21
PRODUTOS_UTILIDADES-00135,utilidades,Produto Utilidades 00135,Fornecedor_018,120,1015.44,1363.65,2273.92,430.17,459.98,41,46,0.906,0.27,2027-03-19
PRODUTOS_UTILIDADES-00136,utilidades,Produto Utilidades 00136,Fornecedor_117,12,148.39,171.06,280.07,1494.03,1442.18,61,90,0.97,0.248,2026-09-16
PRODUTOS_UTILIDADES-00137,utilidades,Produto Utilidades 00137,Fornecedor_019,720,1161.23,1494.81,3023.81,382.34,439.63,82,84,0.937,0.325,2027-03-13
PRODUTOS_UTILIDADES-00138,utilidades,Produto Utilidades 00138,Fornecedor_017,240,854.55,1325.28,3069.02,1246.06,1285.45,279,41,0.909,0.192,2027-02-05
PRODUTOS_UTILIDADES-00139,utilidades,Produto Utilidades 00139,Fornecedor_087,6,107.85,144.08,301.96,681.34,644.3,113,88,0.902,0.154,2027-02-17
PRODUTOS_UTILIDADES-00140,utilidades,Produto Utilidades 00140,Fornecedor_006,12,464.42,769.44,1558.14,1129.71,1007.48,140,27,0.941,0.343,2026-09-27
PRODUTOS_UTILIDADES-00141,utilidades,Produto Utilidades 00141,Fornecedor_082,6,440.5,585.58,1195.02,723.62,814.11,191,57,0.97,0.18,2026-07-08
PRODUTOS_UTILIDADES-00142,utilidades,Produto Utilidades 00142,Fornecedor_156,96,82.2,130.63,300.3,135.1,127.08,9,39,0.918,0.246,2026-05-10
PRODUTOS_UTILIDADES-00143,utilidades,Produto Utilidades 00143,Fornecedor_019,6,1186.45,1397.76,2948.76,841.64,786.82,901,33,0.928,0.109,2027-01-06
PRODUTOS_UTILIDADES-00144,utilidades,Produto Utilidades 00144,Fornecedor_065,48,967.39,1301.49,2974.04,912.75,997.34,261,32,0.982,0.419,2026-09-30
PRODUTOS_UTILIDADES-00145,utilidades,Produto Utilidades 00145,Fornecedor_033,120,807.08,1308.77,3106.08,151.7,178.14,988,80,0.988,0.409,2027-01-04
PRODUTOS_UTILIDADES-00146,utilidades,Produto Utilidades 00146,Fornecedor_036,240,428.1,706.35,1572.56,1481.02,1479.52,456,20,0.986,0.12,2027-01-22
PRODUTOS_UTILIDADES-00147,utilidades,Produto Utilidades 00147,Fornecedor_078,720,1052.79,1703.79,3717.78,229.42,247.15,58,20,0.989,0.158,2026-08-21
PRODUTOS_UTILIDADES-00148,utilidades,Produto Utilidades 00148,Fornecedor_221,96,253.22,291.49,614.03,1038.28,945.74,41,16,0.964,0.124,2026-10-30
PRODUTOS_UTILIDADES-00149,utilidades,Produto Utilidades 00149,Fornecedor_125,24,397.82,610.02,1179.8,531.81,494.07,276,57,0.956,0.126,2027-02-10
PRODUTOS_UTILIDADES-00150,utilidades,Produto Utilidades 00150,Fornecedor_105,12,996.28,1146.65,2607.06,42.55,38.14,245,16,0.906,0.321,2027-01-17
PRODUTOS_UTILIDADES-00151,utilidades,Produto Utilidades 00151,Fornecedor_089,240,928.1,1105.72,2553.62,895.87,851.88,159,10,0.911,0.326,2026-11-19
PRODUTOS_UTILIDADES-00152,utilidades,Produto Utilidades 00152,Fornecedor_007,48,273.85,360.44,611.22,394.81,389.41,285,71,0.979,0.206,2027-04-18
PRODUTOS_UTILIDADES-00153,utilidades,Produto Utilidades 00153,Fornecedor_204,240,655.51,947.32,1941.88,165.27,190.93,47,70,0.954,0.355,2027-02-21
PRODUTOS_UTILIDADES-00154,utilidades,Produto Utilidades 00154,Fornecedor_068,96,847.58,1231.14,2717.39,257.71,274.65,795,13,0.931,0.095,2027-03-11
PRODUTOS_UTILIDADES-00155,utilidades,Produto Utilidades 00155,Fornecedor_166,720,523.98,748.75,1590.09,563.45,633.27,1242,34,0.958,0.095,2026-09-16
